model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
BERT-Tiny,65,76.47,38.81,51.49,27.27,14.04,18.53,16.90,9.52,12.18,4.88,1.36,2.13,12.50,1.00,1.85,0.00,0.00,0.00,37.62,14.41,20.84
BERT-Tiny,10,82.76,11.94,20.87,26.92,4.09,7.11,14.29,2.38,4.08,9.09,0.68,1.27,0.00,0.00,0.00,0.00,0.00,0.00,38.89,4.31,7.76
BERT-Tiny,69,71.84,36.82,48.68,23.26,11.70,15.56,16.67,9.52,12.12,6.12,2.04,3.06,13.33,2.00,3.48,0.00,0.00,0.00,33.74,13.67,19.46
BERT-Tiny,83,77.57,41.29,53.90,28.89,15.20,19.92,13.33,9.52,11.11,11.11,4.08,5.97,14.29,1.00,1.87,0.00,0.00,0.00,36.57,15.76,22.03
BERT-Tiny,81,75.70,40.30,52.60,30.68,15.79,20.85,14.63,9.52,11.54,10.20,3.40,5.10,28.57,2.00,3.74,0.00,0.00,0.00,38.02,15.64,22.16
BERT-Tiny,18,75.64,29.35,42.29,22.00,6.43,9.95,20.59,5.56,8.75,0.00,0.00,0.00,100.00,1.00,1.98,0.00,0.00,0.00,44.32,9.61,15.79
BERT-Tiny,87,77.68,43.28,55.59,25.84,13.45,17.69,14.12,9.52,11.37,8.33,3.40,4.83,9.09,1.00,1.80,0.00,0.00,0.00,35.56,15.76,21.84
BERT-Tiny,85,75.21,43.78,55.35,30.53,16.96,21.80,13.48,9.52,11.16,10.71,4.08,5.91,10.00,1.00,1.82,50.00,1.49,2.90,37.13,16.87,23.20
BERT-Tiny,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Tiny,59,75.27,34.83,47.62,23.53,11.70,15.62,15.15,7.94,10.42,8.16,2.72,4.08,9.09,1.00,1.80,0.00,0.00,0.00,34.31,12.93,18.78
BERT-Tiny,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Tiny,7,100.00,2.49,4.85,25.00,0.58,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.15,0.74,1.45
BERT-Tiny,28,84.85,27.86,41.95,29.63,9.36,14.22,16.13,3.97,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.04,9.48,15.89
BERT-Tiny,5,100.00,0.50,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.12,0.25
BERT-Tiny,51,80.95,33.83,47.72,26.39,11.11,15.64,14.75,7.14,9.63,7.14,2.04,3.17,8.33,1.00,1.79,0.00,0.00,0.00,36.63,12.32,18.43
BERT-Tiny,24,78.08,28.36,41.61,27.12,9.36,13.91,15.79,4.76,7.32,4.76,0.68,1.19,20.00,1.00,1.90,0.00,0.00,0.00,40.91,9.98,16.04
BERT-Tiny,9,89.19,16.42,27.73,12.12,2.34,3.92,20.00,2.38,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.94,4.93,8.88
BERT-Tiny,53,76.92,34.83,47.95,26.03,11.11,15.57,15.15,7.94,10.42,7.32,2.04,3.19,16.67,1.00,1.89,0.00,0.00,0.00,36.79,12.68,18.86
BERT-Tiny,26,75.90,31.34,44.37,25.37,9.94,14.29,7.69,2.38,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50,10.22,16.40
BERT-Tiny,55,74.07,29.85,42.55,25.00,9.94,14.23,12.70,6.35,8.47,8.57,2.04,3.30,0.00,0.00,0.00,0.00,0.00,0.00,35.20,10.84,16.57
BERT-Tiny,20,68.60,29.35,41.11,21.54,8.19,11.86,12.50,3.97,6.02,9.09,0.68,1.27,25.00,1.00,1.92,0.00,0.00,0.00,38.83,9.85,15.72
BERT-Tiny,57,79.79,37.31,50.85,28.21,12.87,17.67,15.79,9.52,11.88,7.27,2.72,3.96,11.11,1.00,1.83,0.00,0.00,0.00,36.19,14.04,20.23
BERT-Tiny,22,72.22,32.34,44.67,25.76,9.94,14.35,10.42,3.97,5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.84,10.71,16.80
BERT-Tiny,38,78.67,29.35,42.75,27.27,10.53,15.19,14.81,6.35,8.89,0.00,0.00,0.00,16.67,1.00,1.89,0.00,0.00,0.00,37.72,10.59,16.54
BERT-Tiny,49,79.00,39.30,52.49,26.58,12.28,16.80,6.85,3.97,5.03,6.67,1.36,2.26,20.00,1.00,1.90,0.00,0.00,0.00,37.63,13.30,19.65
BERT-Tiny,32,77.92,29.85,43.17,26.15,9.94,14.41,17.02,6.35,9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.26,10.47,16.70
BERT-Tiny,47,80.46,34.83,48.61,23.29,9.94,13.93,14.29,7.14,9.52,4.65,1.36,2.11,27.27,3.00,5.41,0.00,0.00,0.00,35.94,12.44,18.48
BERT-Tiny,30,75.29,31.84,44.76,23.53,9.36,13.39,18.00,7.14,10.23,5.00,0.68,1.20,0.00,0.00,0.00,0.00,0.00,0.00,39.13,11.08,17.27
BERT-Tiny,45,79.07,33.83,47.39,30.14,12.87,18.03,15.25,7.14,9.73,0.00,0.00,0.00,12.50,1.00,1.85,0.00,0.00,0.00,38.46,12.32,18.66
BERT-Tiny,36,77.89,36.82,50.00,24.66,10.53,14.75,21.05,9.52,13.11,2.78,0.68,1.09,9.09,1.00,1.80,0.00,0.00,0.00,38.27,13.05,19.47
BERT-Tiny,43,78.48,30.85,44.29,28.17,11.70,16.53,11.11,4.76,6.67,8.33,1.36,2.34,20.00,1.00,1.90,0.00,0.00,0.00,39.06,11.21,17.42
BERT-Tiny,34,80.00,33.83,47.55,28.38,12.28,17.14,12.96,5.56,7.78,5.00,0.68,1.20,0.00,0.00,0.00,0.00,0.00,0.00,40.59,11.95,18.46
BERT-Tiny,41,79.45,28.86,42.34,30.51,10.53,15.65,13.73,5.56,7.91,0.00,0.00,0.00,12.50,1.00,1.85,0.00,0.00,0.00,36.68,10.34,16.14
